spoken_hook,spoken_hook_framework,spoken_hook_structure,visual_hook_graphic,visual_hook_movement,visual_hook_layout,text_hook,audio_hook_structure,video_link,niche,content_type,performance_rank,views
Jalen Browns resume might be the most ridiculous in NBA history,[X persons] [Y achievement] might be the most [Z superlative] in [field] history,Secret Reveal,Subject in B-Roll,B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),Music only,https://www.instagram.com/frankmichaelsmith/reel/C7rwYyMRP3s/,Content Marketing,Entertainment,2,14875278
This is the best and simplest guide for a perfect bench press youll ever see.,This is the best and simplest guide for a perfect [X exercise] youll ever see,Educational/Tutorial,Creator A-Roll,A-Roll - Slow Zoom,"Full screen A-roll (in world),Full screen A-roll (partial graphic overlay)",Captions (repeat of spoken),Music only,https://www.instagram.com/davis.diley/reel/CtegwMGq6lT/,Content Marketing,Education,2,14774742
Check this out. These are called life-size floor plans. You can literally walk through your exact home design before you build it. And I think this is the future of how people are gonna build their homes.,Check this out. These are called [X innovation]. You can literally [Y capability]. And I think this is the future of how people are gonna [Z activity],Secret Reveal,"Arrow/Highlights,Creator A-Roll,Subject in B-Roll","A-Roll - Quick Zoom,B-Roll - Quick Cuts","Full screen A-roll (in studio),Split screen A-roll + B-roll",[X subject] does [Y thing],Music + SFX,https://www.instagram.com/kallaway/reel/C_iVgDcJLd1/,Tech,Entertainment,2,14478870
"These are called Lifesize Floor Plans. You can literally walk through your home design before you build it. And I think, this is the future of how people are going to build their homes.",These are called [X]. You can literally do [Y non-obvious thing]. This is the future of how [Z people] will do [Y thing],Fortuneteller,"Arrow/Highlights,Creator A-Roll,Non-person B-Roll","A-Roll - None,B-Roll - Quick Cuts","Full screen A-roll (in studio),Full screen B-roll w/ A-roll overlaid,Split screen A-roll + B-roll",Future of [X thing],Music + SFX,https://www.instagram.com/kallaway/reel/C_iVgDcJLd1/,Tech,Entertainment,2,14400000
"Hey, are you guys going on a road trip? Yeah, were going on a motorcycle trip across Italy.","Hey, are you guys [X activity]? Yeah, were [Y specific version]",Experimentation,Creator in B-Roll,B-Roll - None,Full screen B-roll,Captions (repeat of spoken),Music only,https://www.instagram.com/karl_shakur/reel/C-X7FI5o_1Q/,Content Marketing,Entertainment,2,13913818
Only one of these people has never used steroids. Lets see if random people can spot who it is.,Only one of these [X people] has never [Y controversial thing]. Lets see if [Z audience] can spot who it is,Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in world),Captions (repeat of spoken),Music only,https://www.instagram.com/jeffnippard/reel/DIJme_6pqWF/,Content Marketing,Education,3,12584218
"Alright, this is my leg workout based on science and experience.","Alright, this is my [X workout] based on science and experience",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in world),Captions (repeat of spoken),Music only,https://www.instagram.com/jeffnippard/reel/DDM186vpNXn/,Content Marketing,Education,4,12364501
"Why do some people squat like this, and others like this? Which form is correct? Let me explain.","Why do some people [X method], and others [Y method]? Which form is correct? Let me explain",Educational/Tutorial,Creator A-Roll,A-Roll - Slow Zoom,"Full screen A-roll (in world),Full screen A-roll (partial graphic overlay)",Captions (repeat of spoken),Music only,https://www.instagram.com/jeremyethier/reel/DAjEew1PKBY/,Content Marketing,Education,1,12056276
"All right, so lets dive a little deeper into the Ray-Ban Meta Smart Glasses.","All right, so lets dive a little deeper into the [X product/topic]",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),None,Music only,https://www.instagram.com/karl_shakur/reel/C0nHTRVrJvj/,Content Marketing,Education,3,11837614
"Im gonna save you 30 minutes of your next workout with three simple tips, and it wont cost you any gains.","Im gonna save you [X time] of your next workout with [Y number] simple tips, and it wont cost you any [Z]",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in world),Captions (repeat of spoken),Music only,https://www.instagram.com/jeffnippard/reel/C9zuGtYJ8ck/,Content Marketing,Education,5,11614627
"I used a $12,000 EMG machine to find out which exercises best target the upper, middle, and lower chest.",I used a $[X equipment] to find out which [Y methods] best target [Z muscles],Educational/Tutorial,"Arrow/Highlights,Creator A-Roll,Creator in B-Roll","A-Roll - Slow Zoom,B-Roll - Quick Cuts",Full screen A-roll (in world),Captions (repeat of spoken),Music + SFX,https://www.instagram.com/jeremyethier/reel/Cpk54gQJaYA/,Content Marketing,Education,2,11589876
This prompt has been going viral - What do you know about me that I might not know about myself based on our previous interactions?,This prompt has been going viral - [X intriguing question],Secret Reveal,"Creator A-Roll,Subject in B-Roll","A-Roll - None,B-roll - Text Overlays",Full screen A-roll (partial graphic overlay),Captions (repeat of spoken),No audio,https://www.instagram.com/adamstewartmarketing/reel/DBbQKwGMmTV/,Content Marketing,Education,1,11566689
"Look at this, look at this, look at this guy.","Look at this, look at this, look at this [X]",Raw Shock,Creator A-Roll,A-Roll - Quick Zoom,Full screen A-roll (in world),[X shocking thing],No audio,https://www.instagram.com/karl_shakur/reel/DBzBPmay9h3/,Content Marketing,Entertainment,4,11413416
Check this out. This company lets you order sunlight on demand. Its like Uber Eats for the sun.,Check this out. This company lets you [X impossible service]. Its like [Y familiar service] for [Z unexpected thing],Secret Reveal,"Arrow/Highlights,Creator A-Roll,Subject in B-Roll","A-Roll - Quick Zoom,B-Roll - Quick Cuts","Full screen A-roll (in studio),Split screen A-roll + B-roll",[X subject] does [Y thing],Music + SFX,https://www.instagram.com/kallaway/reel/DA8kxupvEzk/,Tech,Entertainment,3,10974071
This company lets you order sunlight on demand. Its like Uber Eats for the sun.,[X person/company] lets you do [Y non-obvious action] on demand. Its like [simplified metaphor],Secret Reveal,"Creator A-Roll,Image Screenshots,Non-person B-Roll","A-Roll - Quick Zoom,B-Roll - Quick Cuts,B-Roll - Swipe Transitions","Full screen A-roll (in studio),Full screen B-roll w/ A-roll overlaid,Split screen A-roll + B-roll",[X shocking thing],Music + SFX,https://www.instagram.com/kallaway/reel/DA8kxupvEzk/,Tech,Entertainment,3,10900000
"The smart kid peeks at your desk and cant stand you outscored him, so he begs you to tell him how. You tell him that you took your notes and turned them into an AI podcast a week before the exam.","The [X person] [Y discovers] and cant stand [Z achievement], so [reaction]. You tell them that [secret method]",Secret Reveal,"Creator in B-Roll,Subject in B-Roll",B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),Music only,https://www.instagram.com/goharsguide/reel/DDA1cKGS7GY/,Content Marketing,Education,4,10638531
"Look at this freaking thing right here. New trend alert, new trend alert.",Look at [X thing]. [Y excited declaration],Educational/Tutorial,"Creator A-Roll,Non-person B-Roll","A-Roll - None,B-Roll - None",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),No audio,https://www.instagram.com/thekoerneroffice/reel/DEghUnlSEiL/,Content Marketing,Education,1,10565246
"The bench press is a great exercise to build your upper body, but only if you do it right.","The [X exercise] is a great exercise to [Y benefit], but only if you do it right",Educational/Tutorial,Creator A-Roll,B-Roll - Quick Cuts,"Full screen A-roll (in world),Full screen A-roll (partial graphic overlay)",Captions (repeat of spoken),Music + SFX,https://www.instagram.com/jeremyethier/reel/Cq0ph4CpOYE/,Content Marketing,Education,3,10462988
Heres how to turn 28 days of annual leave into 60 days off in 2025.,Heres how to turn [X small number] days of annual leave into [Y large number] days off in [Z year],Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (partial graphic overlay),Captions (repeat of spoken),No audio,https://www.instagram.com/nischa.me/reel/DDriMYXy4-C/,Content Marketing,Education,1,10369478
"If you lay a bench down flat, like this, and hold your arms at an angle to press, youll target more of the middle pecs.","If you [X setup], youll target [Y results]",Educational/Tutorial,Creator A-Roll,A-Roll - Slow Zoom,"Full screen A-roll (in world),Full screen A-roll (partial graphic overlay)",Captions (repeat of spoken),Music only,https://www.instagram.com/davis.diley/reel/C6JoiMIAXC_/,Content Marketing,Education,5,9945699
"I have a question for you. Which one is the real me? Is it me, or is it me? Heres how I made her.","I have a question for you. Which one is the real [X]? Is it [Y], or is it [Y]? Heres how I made [Z]",Experimentation,Creator A-Roll,"A-Roll - None,B-Roll - None",Full screen A-roll (in world),Captions (repeat of spoken),Music + SFX,https://www.instagram.com/covacut/reel/DHpN0wASfSu/,Content Marketing,Entertainment,1,9662976
Heres five of the most common squat mistakes you need to avoid,Heres [X number] of the most common [Y exercise] mistakes you need to avoid,Educational/Tutorial,Creator A-Roll,A-Roll - None,"Full screen A-roll (in world),Full screen A-roll (partial graphic overlay)",Captions (repeat of spoken),Music + SFX,https://www.instagram.com/jeremyethier/reel/CqqRrpcpemk/,Content Marketing,Education,4,9213773
"Chest. Some kind of flat barbell or dumbbell pressing and then some incline work. And then lastly for chest, I would say some kind of flying movement.","[X body part]. Some kind of [Y exercise] and then [Z exercise]. And then lastly for [X], I would say some kind of [movement]",Educational/Tutorial,"Creator A-Roll,Example Videos","A-Roll - Slow Zoom,B-Roll - Quick Cuts",Split screen A-roll + B-roll,Captions (repeat of spoken),Music + SFX,https://www.instagram.com/jeremyethier/reel/C2nI1fzxB27/,Content Marketing,Education,5,8995288
Should you study with or without music?,Should you [X activity] with or without [Y variable]?,Question,Subject in B-Roll,B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),Music only,https://www.instagram.com/goharsguide/reel/C3WfNmvtYBS/,Content Marketing,Education,5,8867795
"Alright, this is my pull day based on science and experience.","Alright, this is my [X workout] based on science and experience",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in world),Captions (repeat of spoken),Music only,https://www.instagram.com/jeffnippard/reel/DC1ywxKJ0U8/,Content Marketing,Education,6,8644772
"The calves are the hardest muscle to grow, but scientists have recently discovered three solutions to their stubbornness.","The [X muscle] are the hardest muscle to grow, but scientists have recently discovered [Y number] solutions to their stubbornness",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in world),Captions (repeat of spoken),Music only,https://www.instagram.com/jeffnippard/reel/DGLsaQCptBO/,Content Marketing,Education,7,8416798
"You forgot to study for your exam, but you dont want to fail. Heres what you do.","You forgot to [X prepare] for your [Y event], but you dont want to [Z fail]. Heres what you do",Educational/Tutorial,Subject in B-Roll,B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),Music only,https://www.instagram.com/goharsguide/reel/CiijClVJzVT/,Content Marketing,Education,6,8320026
"Theres a model called the five stages of relationship, and heres the wild part.","Theres a model called [X concept], and heres the wild part",Secret Reveal,"Creator A-Roll,Non-person B-Roll","A-Roll - None,B-Roll - Slow Zooms","Full screen A-roll (in studio),Full screen B-roll",Captions (repeat of spoken),Music only,https://www.instagram.com/robthebank/reel/DIjarP9OlwY/,Content Marketing,Entertainment,1,8220970
This is the best squat tutorial thats ever been made.,This is the best [X exercise] tutorial thats ever been made,Educational/Tutorial,Creator A-Roll,A-Roll - Slow Zoom,"Full screen A-roll (in world),Full screen A-roll (partial graphic overlay)",Captions (repeat of spoken),Music only,https://www.instagram.com/davis.diley/reel/Cur5PPJoGEb/,Content Marketing,Education,7,8023262
"The tech in the Vegas Sphere is insane. Biggest screen ever built, 20 times bigger than an IMAX. But get this, the screen is actually the least impressive part of the whole thing because the most impressive part is the audio. This is gonna blow your mind.","The tech in [X venue] is insane. [Y impressive fact]. But get this, [Z expected highlight] is actually the least impressive part of the whole thing because the most impressive part is [unexpected element]. This is gonna blow your mind",Secret Reveal,"Arrow/Highlights,Creator A-Roll,Subject in B-Roll","A-Roll - Crash Zoom,B-Roll - Quick Cuts","Full screen A-roll (in studio),Split screen A-roll + B-roll",Future of [X thing],Music + SFX,https://www.instagram.com/kallaway/reel/DCEseIrPwEx/,Tech,Entertainment,4,7960405
"This company 3D printed an entire neighborhood. All those houses were printed with those giant machines. But get this, because theyre printed, people can design wild looking homes that are actually affordable to build.","This company [X method] an entire [Y project scale]. [Z how its done]. But get this, because theyre [X], people can [unexpected benefit]",Secret Reveal,"Arrow/Highlights,Creator A-Roll,Subject in B-Roll","A-Roll - Quick Zoom,B-Roll - Quick Cuts","Full screen A-roll (in studio),Split screen A-roll + B-roll",[X subject] does [Y thing],Music + SFX,https://www.instagram.com/kallaway/reel/DBeET9BPKaU/,Tech,Entertainment,5,7942673
"This is what I like to call a visual nugget, a sneaky little bit of optical trickery that serves to hold on to the attention of the viewer while at the same time conveying the backbone of whatever story youre telling.","This is what I like to call a [X technique], a [Y description] that serves to [Z purpose]",Educational/Tutorial,"Creator A-Roll,Non-person B-Roll",A-Roll - Quick Zoom,Full screen A-roll (in world),Captions (repeat of spoken),Music only,https://www.instagram.com/karl_shakur/reel/C2fxyNVvRGU/,Content Marketing,Education,5,7894843
Yall know the science-based guys. Science guys really need to answer this question before anything.,Yall know the [X type] guys. [X] guys really need to answer this question before anything,Educational/Tutorial,"Creator A-Roll,Subject in B-Roll","A-Roll - None,B-Roll - None",Split screen A-roll + B-roll,Captions (repeat of spoken),Music only,https://www.instagram.com/jeffnippard/reel/DBUPyMGpR-J/,Content Marketing,Education,8,7778981
"So, my buddy runs a taco restaurant, and he recently texted me that he needs a flyer to promo an upcoming event.","So, my [X person] runs a [Y business], and he recently texted me that he needs [Z thing]",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (partial graphic overlay),Captions (repeat of spoken),No audio,https://www.instagram.com/shwinnabegobrand/reel/C_8Y8-turOG/,Content Marketing,Education,1,7620877
You take your driving test so you can hang with your friends. Heres what the examiner makes you do.,You take your [X test] so you can [Y motivation]. Heres what [Z authority] makes you do,Educational/Tutorial,Subject in B-Roll,B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),Music only,https://www.instagram.com/goharsguide/reel/CuOAJR4Pkb3/,Content Marketing,Education,7,7618345
The fact that Suni Lee was even able to compete in Paris is nothing short of incredible.,The fact that [X person] was even able to [Y achievement] is nothing short of incredible,Secret Reveal,Subject in B-Roll,B-Roll - None,Full screen B-roll,Captions (repeat of spoken),Music only,https://www.instagram.com/frankmichaelsmith/reel/C-Sz6fSREJl/,Content Marketing,Entertainment,3,7615266
"Apple just dropped the iPhone 16 with something we didnt expect, but before you order, lets take a look.","[X company] just dropped the [Y product] with something we didnt expect, but before you [Z action], lets take a look.",Secret Reveal,"Creator A-Roll,Subject in B-Roll","A-Roll - None,B-Roll - Quick Cuts",Split screen A-roll + B-roll,[X shocking thing],Music only,https://www.instagram.com/rpn/reel/C_tSlQCyY41/,Tech,Entertainment,1,7429841
This is my push day based on science and experience.,This is my [X workout] based on science and experience,Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in world),Captions (repeat of spoken),Music only,https://www.instagram.com/jeffnippard/reel/DC64ZmEpb9d/,Content Marketing,Education,9,7325476
"This is Faye. Shes eight years old, and she just built this entire Harry Potter website in like 45 minutes. She doesnt even know how to code. All she did was type English into this new coding tool, Cursor.","This is [X person]. Shes [Y age] years old, and she just built this entire [Z project] in like [time]. She doesnt even know how to [expected skill]. All she did was [simple action] into this new [tool]",Secret Reveal,"Arrow/Highlights,Creator A-Roll,Subject in B-Roll","A-Roll - Crash Zoom,B-Roll - Quick Cuts","Full screen A-roll (in studio),Split screen A-roll + B-roll",Captions (repeat of spoken),Music + SFX,https://www.instagram.com/kallaway/reel/C_fybshJ8Qz/,Tech,Entertainment,6,7313783
"My first scientific study is officially published, and it answers the question, what is optimal training technique?","My first [X achievement] is officially published, and it answers the question, [Y question]?",Educational/Tutorial,"Creator A-Roll,Image Screenshots",A-Roll - None,Full screen A-roll (in world),Captions (repeat of spoken),Music only,https://www.instagram.com/jeffnippard/reel/C2SYZAtOSBX/,Content Marketing,Education,10,7312391
"Push-up. Thats the first exercise my dad ever taught me, and now Im gonna teach you.","[X topic]. Thats the first [Y thing] my [Z person] ever taught me, and now Im gonna teach you",Educational/Tutorial,Creator A-Roll,A-Roll - Slow Zoom,Full screen A-roll (in world),Captions (repeat of spoken),Music only,https://www.instagram.com/davis.diley/reel/DA6HJpIOTNo/,Content Marketing,Education,9,7290501
The Bronny James experiment should already be over in LA.,The [X experiment] should already be over in [Y place],Secret Reveal,Subject in B-Roll,B-Roll - Swipe Transitions,Full screen B-roll,Captions (repeat of spoken),Music only,https://www.instagram.com/frankmichaelsmith/reel/DBJWSCQxo5J/,Content Marketing,Entertainment,4,7157185
Fuck your ChatGPT,Fuck your [X popular tool],Contrarian/Negative,"Creator A-Roll,Creator in B-Roll,Image Screenshots","A-Roll - None,B-Roll - Quick Cuts","Full screen A-roll (in studio),Full screen A-roll (in world)",Captions (repeat of spoken),No audio,https://www.instagram.com/nomadatoast/reel/C3IRndVN1ZB/,Tech,Entertainment,1,7021206
"If you want to make AI images, go to Midjourney.","If you want to make [X content], go to [Y platform]",Educational/Tutorial,"Creator A-Roll,Subject in B-Roll","A-Roll - None,B-Roll - None",Split screen A-roll + B-roll,None,Music + SFX,https://www.instagram.com/rourkeheath/reel/DHNuUidAh1x/,Tech,Education,1,6884006
Most people have no idea you can legally spy on any companys marketing strategy and its much easier to do than you think.,Most people have no idea you can legally [X surprising action] and its much easier to do than you think,Secret Reveal,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),No audio,https://www.instagram.com/adamstewartmarketing/reel/DEBsfQsTA1M/,Content Marketing,Education,2,6848814
"Youre studying with YouTube videos, but theyre way too long. Heres what you do.","Youre [X activity] with [Y resource], but theyre [Z problem]. Heres what you do",Educational/Tutorial,Subject in B-Roll,B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),Music only,https://www.instagram.com/goharsguide/reel/C5R7xuxtrqh/,Content Marketing,Education,8,6822661
The best and worst times to study - Your friend chooses the worst times.,The best and worst times to [X activity] - Your friend chooses the worst times,Comparison,Subject in B-Roll,B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),Music only,https://www.instagram.com/goharsguide/reel/C9ODmjPSRE8/,Content Marketing,Education,9,6812637
"Hashtags are dead, stop focusing on them for reach.","[X feature] are dead, stop focusing on them for [Y purpose]",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (partial graphic overlay),[X shocking thing],SFX only,https://www.instagram.com/devinjatho/reel/Cm-OsnwD58o/,Content Marketing,Education,1,6778456
You look in the mirror and notice your arms look like twigs. Heres what you do to gain muscle.,You look in the mirror and notice [X physical trait]. Heres what you do to [Y goal],Educational/Tutorial,"Creator in B-Roll,Subject in B-Roll",B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),Music only,https://www.instagram.com/goharsguide/reel/C85fQzCNMz_/,Content Marketing,Education,10,6643185
"Im giving away this $3,600 gaming laptop to one of you guys for free.",Im giving away this [X expensive item] to one of you guys for free.,Secret Reveal,"Creator in B-Roll,Subject in B-Roll",B-Roll - Quick Cuts,Full screen B-roll,[X shocking thing],Music only,https://www.instagram.com/rpn/reel/C2AYL8Qs8Wu/,Tech,Entertainment,2,6608616
"Look at this freaking thing right here, this is the most genius business idea Ive seen this year.",Look at [X thing].. This is the most [X superlative] [Y category] Ive seen [Z time period],Raw Shock,"Creator A-Roll,Non-person B-Roll","A-Roll - None,B-Roll - None",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),No audio,https://www.instagram.com/thekoerneroffice/reel/DGW1pDEy90m/,Content Marketing,Education,2,6478994
I gotta show you guys a shortcut that the new Samsung Galaxy S25 Ultra can do so you can get more done and save time.,I gotta show you guys a [X feature] that the [Y product] can do so you can [Z benefit].,Educational/Tutorial,"Creator in B-Roll,Subject in B-Roll",B-Roll - Slow Zooms,Full screen B-roll,Captions (repeat of spoken),Music only,https://www.instagram.com/rpn/reel/DH_P8bjMptm/,Tech,Education,3,6442359
Why is green tea so bad?,Why is [X supposedly good thing] so bad?,Contrarian/Negative,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),No audio,https://www.instagram.com/kunhealth/reel/DB_j78LuDcj/,Content Marketing,Education,1,6250275
Check this out. This Dallas mom makes a million dollars a year in only four months of work.,Check this out. This [X location] [Y person] makes [Z amount] a year in only [time] of work,Educational/Tutorial,"Creator A-Roll,Subject in B-Roll","A-Roll - None,B-Roll - None",Split screen A-roll + B-roll,Captions (repeat of spoken),SFX only,https://www.instagram.com/rico.incarnati/reel/DAjbS2pvM-d/,Content Marketing,Education,2,6234032
This is the best dumbbell bench tutorial ever made.,This is the best [X exercise] tutorial ever made,Educational/Tutorial,Creator A-Roll,A-Roll - None,"Full screen A-roll (in world),Full screen A-roll (partial graphic overlay)",Captions (repeat of spoken),Music only,https://www.instagram.com/davis.diley/reel/CwnchZmAuvy/,Content Marketing,Education,10,6216649
Imagine being able to type a voiceover and have it be read in your own voice instantly.,Imagine being able to [X futuristic capability] instantly,Fortuneteller,"Creator A-Roll,Non-person B-Roll","A-Roll - None,B-Roll - None",Split screen A-roll + B-roll,Captions (repeat of spoken),No audio,https://www.instagram.com/adamstewartmarketing/reel/DGQgUNhMN6n/,Content Marketing,Education,3,6135477
Its nuts that most people will never question this. Lets say someone has a thousand dollars....,Its nuts that most people will never question this. Lets say [X scenario]...,Raw Shock,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Music only,https://www.instagram.com/themortgagekitchen/reel/C7ac_3hRMb1/?hl=en,Content Marketing,Entertainment,1,6075031
Samsung just announced the Galaxy S25 Ultra which has some pretty insane AI features we havent seen on any other phone.,[X company] just announced the [Y product] which has some pretty insane [Z features] we havent seen on any other phone.,Secret Reveal,"Creator A-Roll,Subject in B-Roll","A-Roll - None,B-Roll - Quick Cuts",Split screen A-roll + B-roll,Captions (repeat of spoken),Music + SFX,https://www.instagram.com/rpn/reel/DFOdXPnPSeT/,Tech,Entertainment,4,6033837
"15 years ago today, I downloaded Instagram.","[X time period] ago today, I [Y action].",Raw Shock,"Creator A-Roll,Image Screenshots","A-Roll - Slow Zoom,B-Roll - Quick Cuts","Full screen A-roll (in studio),Full screen B-roll",[X shocking thing],Music + SFX,https://www.instagram.com/rpn/reel/DHl2aVTP7op/,Content Marketing,Education,5,5917639
"Something crazy is happening with Stanley Cups. You ever seen one of these? Stanley Cup, racking up 6.7 billion views. This 40 ounce Stanley quencher has become the Louis Vuitton of drinkware.","Something crazy is happening with [X product]. You ever seen one of these? [X], racking up [Y metric]. This [Z description] has become the [luxury brand] of [category]",Secret Reveal,"Arrow/Highlights,Creator A-Roll,Subject in B-Roll","A-Roll - Crash Zoom,B-Roll - Quick Cuts","Full screen A-roll (in studio),Full screen B-roll,Split screen A-roll + B-roll",Captions (repeat of spoken),Music + SFX,https://www.instagram.com/kallaway/reel/C19yRqHrhVz/,Content Marketing,Entertainment,7,5748033
This website has been an endless source of scroll-stopping visuals for me.,This [X] has been an endless source of [Y benefit] for me,Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),No audio,https://www.instagram.com/orenmeetsworld/reel/DDKbBPfPrRx/,Content Marketing,Education,1,5682230
And if you take a picture of your product and prompt an effect here -  boom.,And if you [X action] and [Y action] - boom,Educational/Tutorial,"Creator A-Roll,Non-person B-Roll",B-Roll - Quick Cuts,"Full screen A-roll (partial graphic overlay),Full screen B-roll",Captions (repeat of spoken),Music + SFX,https://www.instagram.com/nomadatoast/reel/DG5u_mLN5IB/,Tech,Education,2,5482461
